,school name,federal loan rate,t9 cost for public schools,t9 cost for private schools,tuition revenue per full time enrollment,tuition cost for in state students,part time student retention rate for 4y,full time students <4y,full time students in 4y,cost of attendance w fam other expenses,compl rate for <4y (white),compl rate for <4y (2 or more races),compl rate for <4y (hawaiian/pac islander),compl rate for <4y (hispanic),compl rate for <4y (black),compl rate for <4y (american indian),compl rate less than 4y (american indian),compl rate for 4y (white),compl rate for 4y (2 or more races),compl rate for 4y (hawaiian/pac islander),compl rate for 4y (hispanic),compl rate for 4y (black),compl rate for 4y (asian),compl rate for 4y (american indian),1st-time fulltime compl 4y (2y avg),1st-time fulltime compl 4y,id,latitude,longitude
182,Bethesda University,0.2035,0.0,19.0,6000.0,6560.0,0.3125,0.0,0.4783,4806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2015,0.1525,110060,33.842295,-117.941323
183,Biola University,0.4786,0.0,428.0,19084.0,44382.0,0.8,0.0,0.8239,3716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7532,0.6,0.0,0.6011,0.625,0.7536,0.0,0.7072,0.6994,110097,33.906203,-118.014374
184,Brownson Technical School,0.713,0.0,206.0,10650.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110194,33.819032,-117.905774
185,Bryan University,0.7652,0.0,235.0,14946.0,12125.0,0.0,0.0,0.6097,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.2353,0.0,0.3125,0.3443,0.25,0.0,0.2798,0.3047,110219,33.437779,-111.944197
186,Butte College,0.0279,495.0,0.0,913.0,1368.0,0.0,0.6396,0.0,3142.0,0.3984,0.369,0.5,0.2989,0.2222,0.371,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110246,39.649782,-121.644831
187,California Institute of Integral Studies,0.7959,0.0,0.0,26503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110316,37.774924,-122.416102
188,Cabrillo College,0.0095,223.0,0.0,1158.0,1262.0,0.0,0.7096,0.0,4806.0,0.4271,0.4,0.0,0.3048,0.3333,0.2778,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110334,36.989448,-121.924797
189,California Baptist University,0.6467,0.0,1000.0,18785.0,37018.0,0.4334,0.0,0.775,4356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6614,0.629,0.5714,0.5184,0.4156,0.6607,0.25,0.5933,0.5674,110361,33.929321,-117.425619
190,California College of the Arts,0.2728,0.0,87.0,30947.0,52312.0,0.0,0.0,0.7562,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792,0.0,1.0,0.6452,0.4286,0.8182,0.0,0.6628,0.6542,110370,37.767485,-122.399451
191,University of California-Hastings College of Law,0.0,0.0,0.0,27148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110398,37.781137,-122.4157
192,California Institute of Technology,0.0388,0.0,61.0,13812.0,58680.0,0.0,0.0,0.9631,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,0.9,0.0,0.8889,1.0,0.964,0.0,0.9226,0.9292,110404,34.137349,-118.125878
193,California Lutheran University,0.5342,0.0,320.0,19924.0,46012.0,0.0,0.0,0.808,4375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7491,0.6866,0.0,0.7351,0.6875,0.75,1.0,0.7237,0.7378,110413,34.224566,-118.878924
194,California Polytechnic State University-San Luis Obispo,0.2275,1216.0,0.0,10447.0,10195.0,0.8085,0.0,0.9444,2244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8763,0.8399,1.0,0.8128,0.7,0.8364,0.8571,0.8427,0.8539,110422,35.299513,-120.657311
195,Alliant International University-San Diego,0.1879,0.0,0.0,22639.0,13680.0,0.25,0.0,0.6667,5409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1636,0.0909,110468,32.897056,-117.094398
196,California State University-Bakersfield,0.241,1046.0,0.0,4010.0,7579.0,0.3333,0.0,0.7906,3968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,0.4038,0.3333,0.4771,0.3981,0.5699,0.5,0.4693,0.4756,110486,35.350005,-119.104711
197,California State University-Stanislaus,0.2198,806.0,0.0,4091.0,7644.0,0.4519,0.0,0.8342,3791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6371,0.7,0.4444,0.5484,0.5294,0.625,0.5,0.5744,0.5762,110495,37.52577,-120.852511
198,California State University-San Bernardino,0.2053,1614.0,0.0,3229.0,7213.0,0.4365,0.0,0.8182,4048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271,0.5641,0.4,0.5688,0.4462,0.5932,0.4286,0.5781,0.5696,110510,34.182622,-117.323801
199,California State Polytechnic University-Pomona,0.2349,2468.0,0.0,4224.0,7439.0,0.6433,0.0,0.8738,4008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7627,0.7185,0.4,0.6261,0.625,0.8232,1.0,0.6859,0.7018,110529,34.057912,-117.821476
200,California State University-Chico,0.3438,1254.0,0.0,4926.0,7864.0,0.62,0.0,0.8227,3366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228,0.6329,1.0,0.619,0.4302,0.6129,0.2222,0.6525,0.6537,110538,39.729712,-121.844859
201,California State University-Dominguez Hills,0.201,1603.0,0.0,3824.0,7060.0,0.3473,0.0,0.7448,4046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296,0.4783,0.0,0.5352,0.3909,0.5977,0.0,0.5,0.5253,110547,33.864766,-118.255917
202,California State University-Fresno,0.1749,2363.0,0.0,3385.0,6653.0,0.437,0.0,0.8171,3726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788,0.5217,0.75,0.5588,0.381,0.5438,0.4,0.5705,0.5657,110556,36.811154,-119.744569
203,California State University-Fullerton,0.1913,3172.0,0.0,5270.0,6976.0,0.6368,0.0,0.8783,4036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217,0.755,0.2857,0.672,0.7143,0.7994,0.7143,0.7008,0.7147,110565,33.881506,-117.885446
204,California State University-East Bay,0.2727,682.0,0.0,5652.0,6995.0,0.3889,0.0,0.7908,4126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5986,0.4875,0.4375,0.4367,0.405,0.6041,0.4,0.4767,0.4844,110574,37.657694,-122.054135
205,California State University-Long Beach,0.2307,2924.0,0.0,4712.0,6846.0,0.6363,0.0,0.8812,3452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7878,0.7519,0.3846,0.7368,0.6467,0.8019,0.8571,0.7442,0.7547,110583,33.782818,-118.11204
