,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),latest.student.share_25_older
277,Evergreen Valley College,95135-1598,6746.0,0.2583,14192.0,0.3801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749,0.4472,0.0234,0.0022,0.5599,0.4401,0.0,9250.0,0.0,6750.0,13219.0,6479.0,9625.0,9500.0,5500.0,0.2923,0.0154,0.0462,0.0,0.2462,0.0846,0.3,0.0077,0.3221
278,FIDM-Fashion Institute of Design & Merchandising,90015-1421,1724.0,0.2971,6100.0,0.0417,2.0,0.8333,0.8,0.7015,0.7655,0.6471,0.7321,0.3271,0.25,0.087,0.0122,0.8248,0.1752,12000.0,12500.0,12000.0,6333.0,13734.0,10500.0,14584.0,12000.0,12000.0,0.6667,0.0,0.0,0.0,0.1111,0.2222,0.0,0.0,0.1508
279,Feather River Community College District,95971-9124,1220.0,0.1046,9476.0,0.2414,0.0,0.3333,0.4,0.8,0.5172,0.1724,0.3263,0.3664,0.3328,0.0934,0.0279,0.4836,0.5164,6000.0,8750.0,6360.0,5776.0,10750.0,5500.0,9500.0,9500.0,5500.0,0.8276,0.0,0.0,0.0345,0.069,0.0345,0.0,0.0,0.5295
280,Federico Beauty Institute,95834,297.0,0.4782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266,0.3502,0.1111,0.0202,0.862,0.138,6333.0,5735.0,3667.0,2839.0,6333.0,8506.0,6186.0,5735.0,3666.0,0.6154,0.0769,0.0,0.0769,0.0769,0.1538,0.0,0.0,0.4747
281,Fielding Graduate University,93105-3538,0.0,0.0,7035.0,0.3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.02,0.0,0.0,0.06,0.08,0.0,0.02,0.0
282,Five Branches University,95062,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Redondo Beach Beauty College,90505,58.0,0.2277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.3448,0.0862,0.0,0.9655,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.1667,0.6667,0.0,0.6034
284,Foothill College,94022,10593.0,0.0678,9865.0,0.3196,0.0,0.1429,0.0,0.654,0.4258,0.2,0.506,0.2886,0.3207,0.0345,0.0022,0.4755,0.5245,7875.0,6515.0,5500.0,6500.0,10500.0,6334.0,8802.0,7000.0,4901.0,0.5439,0.0351,0.0058,0.0,0.2047,0.0643,0.1462,0.0,0.4451
285,Franciscan School of Theology,92110,0.0,0.0,7402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Fredrick and Charles Beauty College,95501,59.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593,0.1356,0.0169,0.1864,0.8814,0.1186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085
