,school name,id,latitude,longitude
401,Shasta School of Cosmetology,121637,40.597114,-122.387248
402,University of Redlands,121691,34.064218,-117.163218
403,College of the Redwoods,121707,40.698427,-124.195293
404,Salon Success Academy-Upland,121859,34.108247,-117.631783
405,Salon Success Academy-Corona,121868,33.847649,-117.535638
406,Rio Hondo College,121886,34.019821,-118.033506
407,Riverside City College,121901,33.970918,-117.384323
408,Dongguk University Los Angeles,122117,34.06597,-118.289523
409,Sacramento City College,122180,38.541096,-121.491139
410,Saddleback College,122205,33.553346,-117.665584
411,Samuel Merritt University,122296,37.82029,-122.266331
412,San Diego City College,122339,32.717403,-117.152733
413,San Diego Mesa College,122375,32.803825,-117.169165
414,San Diego Miramar College,122384,32.909757,-117.120261
415,San Diego State University,122409,32.77525,-117.071228
416,University of San Diego,122436,32.770816,-117.192073
417,San Francisco Art Institute,122454,37.803575,-122.417
418,San Francisco Conservatory of Music,122506,37.775543,-122.420292
419,San Francisco State University,122597,37.721224,-122.476799
420,University of San Francisco,122612,37.776618,-122.450477
421,San Joaquin College of Law,122649,36.82448,-119.697657
422,San Joaquin Delta College,122658,37.995562,-121.317597
423,San Joaquin Valley College-Visalia,122685,36.328049,-119.384981
424,San Joaquin Valley College-Bakersfield,122694,35.352848,-119.062071
425,William Jessup University,122728,38.819728,-121.292312
426,San Jose City College,122746,37.315827,-121.926185
427,San Jose State University,122755,37.336569,-121.880621
428,College of San Mateo,122791,37.535698,-122.334801
429,Santa Barbara Business College-Bakersfield,122834,35.359544,-119.061264
430,Santa Barbara City College,122889,34.406788,-119.698045
431,Santa Clara University,122931,37.348362,-121.93784
432,Santa Monica College,122977,34.017022,-118.469765
433,Santa Rosa Junior College,123013,38.45709,-122.718974
434,Saybrook University,123095,34.153103,-118.152155
435,Scripps College,123165,34.104147,-117.711294
436,College of the Sequoias,123217,36.323877,-119.315182
437,Shasta Bible College and Graduate School,123280,40.566034,-122.314419
438,Shasta College,123299,40.625731,-122.317982
439,Sierra College,123341,38.790773,-121.211688
440,Sierra College of Beauty,123350,37.306975,-120.495874
441,Trinity Law School,123448,33.766071,-117.852059
442,Simpson University,123457,40.61334,-122.332981
443,College of the Siskiyous,123484,41.413005,-122.38909
444,Charles A Jones Career and Education Center,123493,38.516233,-121.440796
445,Skyline College,123509,37.63042,-122.467335
446,San Bernardino Valley College,123527,34.086353,-117.313248
447,Saint Mary's College of California,123554,37.840731,-122.109031
448,Solano Community College,123563,38.235881,-122.122368
449,Sonoma State University,123572,38.340274,-122.677066
450,South Baylo University,123633,33.848291,-117.958416
451,South Coast College,123642,33.78818,-117.874031
452,Vanguard University of Southern California,123651,33.662686,-117.900911
453,Concorde Career College-Garden Grove,123679,33.774741,-117.938395
454,Southwestern College,123800,32.640281,-116.996803
455,Starr King School for the Ministry,123916,37.781425,-122.182294
